2021 테슬라 모델Y,Dual Motor AWD,8599만원,자동 4.8~5.4 km/kWh,5인승,풀타임 4륜구동,자동,511km,75.0kWh,336.0Kw,테슬라,외제,2021 테슬라 모델Y_1.jpg,2021 테슬라 모델Y_2.jpg,2021 테슬라 모델Y_3.jpg,2021 테슬라 모델Y_4.jpg,2021 테슬라 모델Y_5.jpg,
2021 테슬라 모델3,Single Motor,6059만원,자동 6.1 km/kWh ,5인승,후륜구동,자동,383km,50.0kWh,211.0Kw,테슬라,외제,2021 테슬라 모델3_1.jpg,2021 테슬라 모델3_2.jpg,2021 테슬라 모델3_3.jpg,2021 테슬라 모델3_4.jpg,2021 테슬라 모델3_5.jpg,
2021 테슬라 모델3,Dual Motor AWD,7939만원,자동 5.1 km/kWh,5인승,풀타임 4륜구동,자동,480km,75.0kWh,340.0Kw,테슬라,외제,2021 테슬라 모델3_1.jpg,2021 테슬라 모델3_2.jpg,2021 테슬라 모델3_3.jpg,2021 테슬라 모델3_4.jpg,2021 테슬라 모델3_5.jpg,
2021 벤츠 EQA,EQA 250,6790만원,자동 4.1 km/kWh,5인승,전륜구동,자동,306km,66.5kWh,140.0Kw,벤츠,외제,2021 벤츠 EQA_1.jpg,2021 벤츠 EQA_2.jpg,2021 벤츠 EQA_3.jpg,2021 벤츠 EQA_4.jpg,2021 벤츠 EQA_5.jpg,
2021 포르쉐 타이칸,타이칸 터보,1억9550만원,자동 2.9 km/kWh ,5인승,풀타임 4륜구동,자동,284km,93.4kWh,500.0Kw,포르쉐,외제,2021 포르쉐 타이칸_1.jpg,2021 포르쉐 타이칸_2.jpg,2021 포르쉐 타이칸_3.jpg,2021 포르쉐 타이칸_4.jpg,2021 포르쉐 타이칸_5.jpg,
2021 포르쉐 타이칸,타이칸 터보 S,2억3360만원,자동 2.8 km/kWh,5인승,풀타임 4륜구동,자동,289km,93.4kWh,560.0Kw,포르쉐,외제,2021 포르쉐 타이칸_1.jpg,2021 포르쉐 타이칸_2.jpg,2021 포르쉐 타이칸_3.jpg,2021 포르쉐 타이칸_4.jpg,2021 포르쉐 타이칸_5.jpg,
2021 아우디 e-트론,50 Quattro,9805만원,자동 2.9 km/kWh,5인승,풀타임 4륜구동,자동,210km,71.0kWh,230.0Kw,아우디,외제,2021 아우디 e-트론_1.jpg,2021 아우디 e-트론_2.jpg,2021 아우디 e-트론_3.jpg,2021 아우디 e-트론_4.jpg,2021 아우디 e-트론_5.jpg,
2021 아우디 e-트론,55 Quattro,1억1492만원,자동 3.0 km/kWh,5인승,풀타임 4륜구동,자동,307km,95.0kWh,300.0Kw,아우디,외제,2021 아우디 e-트론_1.jpg,2021 아우디 e-트론_2.jpg,2021 아우디 e-트론_3.jpg,2021 아우디 e-트론_4.jpg,2021 아우디 e-트론_5.jpg,
2022 포르쉐 타이칸 크로스 투리스모,타이칸 4,1억3800만원,자동 2.9 km/kWh,4인승,풀타임 4륜구동,자동,287km,93.4kWh,350.0Kw,포르쉐,외제,2022 포르쉐 타이칸 크로스 투리스모_1.jpg,2022 포르쉐 타이칸 크로스 투리스모_2.jpg,2022 포르쉐 타이칸 크로스 투리스모_3.jpg,2022 포르쉐 타이칸 크로스 투리스모_4.jpg,2022 포르쉐 타이칸 크로스 투리스모_5.jpg,
2022 포르쉐 타이칸 크로스 투리스모,타이칸 4S,1억5450만원,자동 2.9 km/kWh,4인승,풀타임 4륜구동,자동,287km,93.4kWh,420.0Kw,포르쉐,외제,2022 포르쉐 타이칸 크로스 투리스모_1.jpg,2022 포르쉐 타이칸 크로스 투리스모_2.jpg,2022 포르쉐 타이칸 크로스 투리스모_3.jpg,2022 포르쉐 타이칸 크로스 투리스모_4.jpg,2022 포르쉐 타이칸 크로스 투리스모_5.jpg,
2022 포르쉐 타이칸 크로스 투리스모,타이칸 터보,2억60만원,자동 2.8 km/kWh,4인승,풀타임 4륜구동,자동,274km,93.4kWh,500.0Kw,포르쉐,외제,2022 포르쉐 타이칸 크로스 투리스모_1.jpg,2022 포르쉐 타이칸 크로스 투리스모_2.jpg,2022 포르쉐 타이칸 크로스 투리스모_3.jpg,2022 포르쉐 타이칸 크로스 투리스모_4.jpg,2022 포르쉐 타이칸 크로스 투리스모_5.jpg,
2022 쉐보레 볼트 EUV,EUV,4490만원,자동 5.5 km/kWh,5인승,전륜구동,자동,403km,66.0kWh,150.0Kw,쉐보레,외제,2022 쉐보레 볼트 EUV_1.jpg,2022 쉐보레 볼트 EUV_2.jpg,2022 쉐보레 볼트 EUV_3.jpg,2022 쉐보레 볼트 EUV_4.jpg,2022 쉐보레 볼트 EUV_5.jpg,
2021 아우디 e-트론 스포트백,50 Quattro,1억198만원,자동 3.0 km/kWh ,5인승,풀타임 4륜구동,자동,220km,71.0kWh,230.0Kw,아우디,외제,2021 아우디 e-트론 스포트백_1.jpg,2021 아우디 e-트론 스포트백_2.jpg,2021 아우디 e-트론 스포트백_3.jpg,2021 아우디 e-트론 스포트백_4.jpg,2021 아우디 e-트론 스포트백_5.jpg,
2021 아우디 e-트론 스포트백,55 Quattro,1억2130만원,자동 3.1 km/kWh,5인승,풀타임 4륜구동,자동,304km,95.0kWh,300.0Kw,아우디,외제,2021 아우디 e-트론 스포트백_1.jpg,2021 아우디 e-트론 스포트백_2.jpg,2021 아우디 e-트론 스포트백_3.jpg,2021 아우디 e-트론 스포트백_4.jpg,2021 아우디 e-트론 스포트백_5.jpg,
2022 포르쉐 타이칸 GTS,타이칸 GTS,1억5600만원,자동 4.3 km/kWh,5인승,풀타임 4륜구동,자동,604km,93.4kWh,440.0Kw,포르쉐,외제,2022 포르쉐 타이칸 GTS_1.jpg,2022 포르쉐 타이칸 GTS_2.jpg,2022 포르쉐 타이칸 GTS_3.jpg,2022 포르쉐 타이칸 GTS_4.jpg,2022 포르쉐 타이칸 GTS_5.jpg,
2020 르노 트위지,EV,1430만원,CVT 7.9 km/kWh ,2인승,후륜구동,자동,55km,6.1kWh,12.6Kw,르노,외제,2020 르노 트위지_1.jpg,2020 르노 트위지_2.jpg,2020 르노 트위지_3.jpg,2020 르노 트위지_4.jpg,2020 르노 트위지_5.jpg,
2020 벤츠 EQC,EQC 400 4MAGIC,9560만원,자동 3.2 km/kWh,5인승,풀타임 4륜구동,자동,309km,80.0kWh,304.0Kw,벤츠,외제,2020 벤츠 EQC_1.jpg,2020 벤츠 EQC_2.jpg,2020 벤츠 EQC_3.jpg,2020 벤츠 EQC_4.jpg,2020 벤츠 EQC_5.jpg,
2022 쉐보레 볼트 EV,EV,4130만원,자동 5.4 km/kWh ,5인승,전륜구동,자동,414km,66.0kWh,150.0Kw,쉐보레,외제,2022 쉐보레 볼트 EV_1.jpg,2022 쉐보레 볼트 EV_2.jpg,2022 쉐보레 볼트 EV_3.jpg,2022 쉐보레 볼트 EV_4.jpg,2022 쉐보레 볼트 EV_5.jpg,
2022 포르쉐 타이칸 GTS 스포츠 투리스모,타이칸 GTS,1억5800만원,자동 4.1 km/kWh ,5인승,풀타임 4륜구동,자동,616km,93.4kWh,440.0Kw,포르쉐,외제,2022 포르쉐 타이칸 GTS 스포츠 투리스모_1.jpg,2022 포르쉐 타이칸 GTS 스포츠 투리스모_2.jpg,2022 포르쉐 타이칸 GTS 스포츠 투리스모_3.jpg,2022 포르쉐 타이칸 GTS 스포츠 투리스모_4.jpg,2022 포르쉐 타이칸 GTS 스포츠 투리스모_5.jpg,
2020 BMW i3,120Ah,6000만원,자동 5.6 km/kWh ,4인승,후륜구동,자동,248km,37.9kWh,125.0Kw,BMW,외제,2020 BMW i3_1.jpg,2020 BMW i3_2.jpg,2020 BMW i3_3.jpg,2020 BMW i3_4.jpg,2020 BMW i3_5.jpg,
2020 르노 조에,ZOE,3995만원,자동 4.8 km/kWh,5인승,전륜구동,자동,309km,54.5kWh,100.0Kw,르노,외제,2020 르노 조에_1.jpg,2020 르노 조에_2.jpg,2020 르노 조에_3.jpg,2020 르노 조에_4.jpg,2020 르노 조에_5.jpg,
